"id"	"hr"	"datetime"	"time"	"trl_no"	"blk_no"	"cd_so"	"cd_fr"	"img"	"rslt"	"rate"	"rt"	"r_ans"	"angle"	"end_spin"	"t_now"	"AQ"	"TAS"	"DDF"	"DIF"	"EOT"	"EC"	"PT"	"TheOutcome"	"Gain"	"PE"
"66"	"09_A"	86	"31-May-2019 11:14:44"	14002.1651	66	11	1	1	"wheel_02"	"2"	35.7143	2557.2243	1	972.6188	252	14009.6934	23	51	14	18	19	17	15	-2	-5	-3
"67"	"09_A"	86	"31-May-2019 11:14:59"	14016.4547	67	12	2	2	"wheel_10"	"2"	33.5165	3559.0167	1	780.632	60	14024.9831	23	51	14	18	19	17	15	0.83	-5	-5.83
"68"	"09_A"	86	"31-May-2019 11:15:09"	14026.4288	68	12	2	2	"wheel_06"	"1"	75.4579	1724.2232	1	735.2396	30	14033.1506	23	51	14	18	19	17	15	-0.83	5	5.83
"69"	"09_A"	86	"31-May-2019 11:15:19"	14036.4041	69	12	2	2	"wheel_01"	"2"	35.1648	5008.4777	0	1015.4855	288	14046.3737	23	51	14	18	19	17	15	-1	-5	-4
"70"	"09_A"	86	"31-May-2019 11:15:29"	14046.3947	70	12	2	2	"wheel_04"	"2"	32.7839	2489.8813	1	843.6928	120	14053.9085	23	51	14	18	19	17	15	-0.83	-5	-4.17
"71"	"09_A"	86	"31-May-2019 11:15:39"	14056.3679	71	12	2	2	"wheel_05"	"3"	45.9707	2159.462	1	823.2121	108	14063.5399	23	51	14	18	19	17	15	0	0	0
"72"	"09_A"	86	"31-May-2019 11:15:49"	14067.3442	72	12	2	2	"wheel_02"	"3"	50	797.7397	1	838.914	108	14073.1432	23	51	14	18	19	17	15	-2	0	2
"73"	"09_A"	80	"31-May-2019 11:20:16"	14333.8034	73	13	1	2	"wheel_02"	"3"	58.6081	1178.3732	1	814.3171	108	14339.993	23	51	14	18	19	17	15	-2	0	2
"74"	"09_A"	80	"31-May-2019 11:20:26"	14343.768	74	13	1	2	"wheel_04"	"2"	37.5458	1048.5782	1	825.6656	120	14349.8125	23	51	14	18	19	17	15	-0.83	-5	-4.17
"75"	"09_A"	80	"31-May-2019 11:20:36"	14353.7387	75	13	1	2	"wheel_05"	"3"	44.5055	2911.3642	1	823.6179	108	14361.656	23	51	14	18	19	17	15	0	0	0
"76"	"09_A"	80	"31-May-2019 11:20:46"	14363.6976	76	13	1	2	"wheel_10"	"2"	36.8132	2190.688	1	766.2565	60	14370.8471	23	51	14	18	19	17	15	0.83	-5	-5.83
"77"	"09_A"	80	"31-May-2019 11:20:56"	14373.6674	77	13	1	2	"wheel_01"	"2"	33.5165	1331.3057	1	1011.2715	288	14380.0278	23	51	14	18	19	17	15	-1	-5	-4
"78"	"09_A"	80	"31-May-2019 11:21:07"	14384.6316	78	13	1	2	"wheel_06"	"1"	69.7802	2249.7495	1	738.5093	30	14391.9032	23	51	14	18	19	17	15	-0.83	5	5.83
"79"	"09_A"	80	"31-May-2019 11:21:21"	14398.929	79	14	1	2	"wheel_12"	"1"	61.7216	1552.9269	1	804.8471	90	14405.4809	23	51	14	18	19	17	15	1.67	5	3.33
"80"	"09_A"	80	"31-May-2019 11:21:31"	14408.8964	80	14	1	2	"wheel_11"	"3"	29.1209	1988.7553	1	746.737	36	14415.8874	23	51	14	18	19	17	15	2	0	-2
"81"	"09_A"	80	"31-May-2019 11:21:41"	14418.8571	81	14	1	2	"wheel_09"	"1"	69.4139	1928.1242	1	1002.2027	288	14425.8019	23	51	14	18	19	17	15	1	5	4
"82"	"09_A"	80	"31-May-2019 11:21:51"	14428.8275	82	14	1	2	"wheel_07"	"2"	26.3736	5017.163	0	762.222	30	14438.8424	23	51	14	18	19	17	15	0.83	-5	-5.83
"83"	"09_A"	80	"31-May-2019 11:22:01"	14438.8568	83	14	1	2	"wheel_08"	"3"	30.5861	5027.9222	0	1051.013	324	14448.8468	23	51	14	18	19	17	15	0	0	0
"84"	"09_A"	80	"31-May-2019 11:22:12"	14449.8689	84	14	1	2	"wheel_03"	"1"	71.978	1134.4391	1	1046.1994	330	14456.0262	23	51	14	18	19	17	15	-1.67	5	6.67
"85"	"09_A"	80	"31-May-2019 11:22:26"	14464.1857	85	15	2	1	"wheel_02"	"1"	73.9927	3153.267	1	769.4803	36	14472.374	23	51	14	18	19	17	15	-2	5	7
"86"	"09_A"	80	"31-May-2019 11:22:36"	14474.1514	86	15	2	1	"wheel_04"	"3"	53.1136	2490.2439	1	758.8735	30	14481.6563	23	51	14	18	19	17	15	-0.83	0	0.83
"87"	"09_A"	80	"31-May-2019 11:22:46"	14484.1186	87	15	2	1	"wheel_09"	"2"	28.7546	4137.0985	1	755.7455	36	14493.2387	23	51	14	18	19	17	15	1	-5	-6
"88"	"09_A"	80	"31-May-2019 11:22:56"	14494.0816	88	15	2	1	"wheel_06"	"1"	78.3883	4358.2917	1	759.302	30	14503.4261	23	51	14	18	19	17	15	-0.83	5	5.83
